 8 9 8 8
 5  4  2  4  1  1  2  5 
 9  5  6  8  5  2  3  6 
 8  8  5  7  4  5  6  9 
 1  1  1  1  1  1  1  1 
 0.00000000000000000e+00  5.00000000000000000e-01  1.00000000000000000e+00  0.00000000000000000e+00  5.00000000000000000e-01  1.00000000000000000e+00  0.00000000000000000e+00  5.00000000000000000e-01  1.00000000000000000e+00 
 0.00000000000000000e+00  0.00000000000000000e+00  0.00000000000000000e+00  5.00000000000000000e-01  5.00000000000000000e-01  5.00000000000000000e-01  1.00000000000000000e+00  1.00000000000000000e+00  1.00000000000000000e+00 
 1  2  3  6  9  8  7  4 
 2  3  6  9  8  7  4  1 
 0.00000000000000000e+00  5.00000000000000000e-01  0.00000000000000000e+00  5.00000000000000000e-01  0.00000000000000000e+00  5.00000000000000000e-01  0.00000000000000000e+00  5.00000000000000000e-01 
 5.00000000000000000e-01  1.00000000000000000e+00  5.00000000000000000e-01  1.00000000000000000e+00  5.00000000000000000e-01  1.00000000000000000e+00  5.00000000000000000e-01  1.00000000000000000e+00 
 1  1  2  2  3  3  4  4 
 1  1  1  1  1  1  1  1 
 0  0  0  0  0  0  0  0 
